st,stateno,state,state_fips,state_icpsr,poptotal,evangelical_pop,nonwhite,gini_coef,region,total_expenditure,total_revenue,gsppcap,incomepcap,unemployment,povrate,earned_income_taxcredit,x_sales_taxes,x_tax_burden,x_top_corporateincometaxrate,prez_election_year,hou_chamber,sen_chamber,h_diffs,s_diffs,inst6014_nom,bowen_legprof_firstdim,bowen_legprof_seconddim,speaker_power,pctfemaleleg,efna_index,vepvotingrate,ranney4_control,overall_fin_reg,oelecsc,opartsc,nonindiv_contrib,union_density,pollib_median,innovatescore_boehmkeskinner,soc_capital_ma,citi6013,wpid,mood,anti_environment,anti_aid,anti_defense,anti_education,anti_welfare,anti_race,death_penalty,guncontrol_stand_your_ground,vcrimerate,z_education_expenditures_per_pup,mathscore4th,readscore4th,sqli,health_rank,genderrights_state_eras,infconsent,w_ec_access,solaw,vaaban,w_environment_solar_taxcredit,frps,drugs_medical_marijuana,gambling_lottery_adoption,guncontrol_assaultweapon_ban,guncontrol_opencarry,labor_minwage_abovefed,labor_right_to_work
SC,40.0,South Carolina,45,48,4404914.0,31.299999,0.347153574,0.64016157,1.0,24824628.0,27530567.0,33384.0,31990.0,5.7,14.1,0.0,5.0,0.088,5.0,0.0,0.717,0.431,1.363,0.962,11.8405,-0.18290837,-0.32506621,2.0,8.8,6.7,,0.0,,0.0,0.0,,4.199999809,-1.71989,0.140882,-1.1575766,47.07921,-0.061844856,39.08200073,0.108094916,0.306690084,0.335422127,0.065179433,0.401285867,0.165307445,0.0,1.0,784.3,9813.27,237.107,213.837,43.0,42.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SC,40.0,South Carolina,45,48,4479800.0,31.299999,0.347995669,0.63955253,1.0,27593614.0,23575480.0,32375.0,32962.0,6.8,14.0,0.0,6.0,0.086,5.0,1.0,0.722,0.44,1.378,0.972,10.22295,,,,8.8,6.6,0.58,0.0,8.0,0.0,0.0,9520066.6,3.900000095,-1.65164,0.140882,-1.0429605,47.90154,-0.011941062,38.23099899,0.118411556,0.236943389,0.36234451,0.065586001,0.457368946,0.140704972,0.0,1.0,727.3,10286.3,,,44.0,45.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SC,40.0,South Carolina,45,48,4589872.0,31.299999,0.351076096,0.61033016,1.0,28663666.0,19897729.0,30814.0,31646.0,11.2,13.7,0.0,6.0,0.085,5.0,0.0,0.726,0.44,1.379,1.139,11.42307,-0.23994106,-0.19784842,2.0,10.0,6.3,,0.0,,0.0,0.0,,4.5,-1.65619,0.011364,-0.76273125,48.33352,0.062856369,40.88399887,0.13447693,0.433219301,0.325041777,0.06658748,0.429997347,0.168457205,0.0,1.0,670.8,10635.3,235.668,215.942,44.0,46.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SC,40.0,South Carolina,45,48,4635649.0,31.299999,0.275296718,0.57609612,1.0,28927120.0,28867808.0,31304.0,32460.0,11.2,17.0,0.0,6.0,0.084,5.0,0.0,0.731,0.44,1.384,1.139,11.42307,,,,10.0,6.2,0.4,0.0,8.0,0.0,0.0,11860840.39,4.599999905,-1.70005,0.011364,-0.71755505,44.55014,0.024623055,37.06900024,0.150542319,0.629495214,0.287739043,0.067588959,0.402625748,0.196209439,0.0,1.0,602.2,,,,45.0,41.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SC,40.0,South Carolina,45,48,4671994.0,31.299999,0.352706939,0.58589578,1.0,29169191.0,31733200.0,,34068.0,10.6,19.0,0.0,6.0,,5.0,0.0,0.759,0.44,1.449,1.139,2.580879,-0.49028069,0.12133681,,9.4,6.3,,0.0,,0.0,0.0,37678.84,3.400000095,-1.7906,,-0.55692518,41.52312,0.039565518,,0.14114517,0.662816238,0.273744139,0.113010892,0.416265282,0.244650142,0.0,1.0,596.9,,237.303,214.9,46.0,45.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SC,40.0,South Carolina,45,48,4723723.0,31.299999,,0.59704721,1.0,27668441.0,26132172.0,,35558.0,9.2,16.7,0.0,6.0,,5.0,1.0,0.759,0.44,1.457,1.139,2.580879,,,,10.0,6.6,0.56,0.0,8.0,0.0,0.0,7953640.03,,-1.96421,,,35.90322,,,0.131748021,0.696137263,0.259749236,0.158432826,0.429904815,0.293090844,0.0,1.0,560.5,,,,38.0,46.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SC,40.0,South Carolina,45,48,4774839.0,31.299999,,0.58441162,1.0,28245704.0,29652787.0,,35713.0,7.6,15.9,0.0,6.0,,5.0,0.0,0.776,0.505,1.45,1.329,0.0,-0.06128747,-0.46829566,,12.9,6.6,,0.0,,0.0,0.0,154939.58,,-2.00767,,,41.78074,,,,,,,,,0.0,1.0,508.5,,,,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,,1.0
SC,40.0,South Carolina,45,48,4832482.0,,,,1.0,29013168.0,31942184.0,,37599.0,6.4,16.5,0.0,6.0,,5.0,0.0,0.776,0.505,1.45,1.329,0.0,,,,12.9,,0.35,0.0,,0.0,0.0,7572616.15,,-2.13613,,,,,,,,,,,,0.0,1.0,497.7,,,,,,0.0,1.0,1.0,,0.0,2.0,0.0,0.0,1.0,0.0,1.0,,1.0
SC,40.0,South Carolina,45,48,4896146.0,,,,1.0,30551967.0,29546888.0,,39413.0,6.0,14.3,,,,,0.0,0.767,0.44,1.542,1.461,,,,,14.1,,,0.0,,0.0,0.0,174935.09,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,,,,,,
SC,40.0,South Carolina,45,48,4961119.0,,,,1.0,31630447.0,28937828.0,,40527.0,4.8,14.1,,,,,1.0,0.794,0.44,1.516,1.461,,,,,14.1,,0.57,0.0,,0.0,0.0,5551390.09,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,0.0,,,,,,
SC,40.0,South Carolina,45,48,5024369.0,,,,,33563809.0,34720849.0,,42178.0,4.3,15.6,,,,,,,,,,,,,,14.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
SC,40.0,South Carolina,45,48,5084156.0,,,,,35002566.0,35504855.0,,43847.0,,,,,,,,,,,,,,,,16.0,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,40.0,South Carolina,45,48,5148714.0,,,,,,,,45359.0,,,,6.0,,5.0,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
